"Word","Length","Freq_HAL","Log_Freq_HAL","MorphSp","POS"
"a","1","10610626","16.18","{a}","minor|NN"
"Aaron","5","10806","9.29","{aaron}","NN"
"aback","5","387","5.96","{aback}","RB"
"abacus","6","513","6.24","{abacus}","NN"
"abandon","7","3761","8.23","{abandon}","VB|NN"
"abandoned","9","5160","8.55","{abandon}>ed>","VB|JJ"
"abandoning","10","1005","6.91","{abandon}>ing>","VB"
"abandonment","11","786","6.67","{abandon}>ment>","NN"
"abase","5","30","3.40","{a--base}","VB"
"abasement","9","7","1.95","{a--base}>ment>","NN"
"abash","5","1","0.00","{abash}","VB"
"abate","5","279","5.63","{abate}","VB"
"abated","6","144","4.97","{abate}>ed>","VB"
"abbess","6","33","3.50","{abbess}","NN"
"abbey","5","2286","7.73","{abbey}","NN"
"abbot","5","616","6.42","{abbot}","NN"
"abbreviate","10","203","5.31","{a--bbrevi--ate}","VB"
"abide","5","1967","7.58","{abide}","VB"
"abides","6","443","6.09","{abide}>s>","VB"
"abiding","7","1363","7.22","{abide}>ing>","JJ|VB"
"Abigail","7","693","6.54","{abigail}","NN"
"abdicate","8","118","4.77","{abdicate}","VB"
"abdomen","7","1279","7.15","{abdomen}","NN"
"abdominal","9","850","6.75","{abdomin--al}","JJ"
"abduct","6","180","5.19","{ab--duct}","VB"
"abduction","9","1995","7.60","{ab--duct}>ion>","NN"
"Abe","3","1235","7.12","{abe}","NN"
"abed","4","143","4.96","{abed}","RB"
"Abel","4","1009","6.92","{abel}","NN"
"Abel's","6","52","3.95","{abel}>'s>","encl"
"aberrant","8","166","5.11","{aberr--ant}","JJ"
"aberration","10","556","6.32","{aberr--ate}>ion>","NN"
"abet","4","81","4.39","{abet}","VB"
"abetted","7","132","4.88","{abet}>ed>","VB"
"abeyance","8","36","3.58","{abey--ance}","NN"
"abhor","5","383","5.95","{abhor}","VB"
"abhorred","8","87","4.47","{abhor}>ed>","VB"
"abhorrent","9","366","5.90","{abhor}>ent>","JJ"
"abilities","9","9029","9.11","{able}>ity>>s>","NN"
"ability","7","56922","10.95","{able}>ity>","NN"
"abject","6","505","6.22","{abject}","JJ"
"ablaze","6","154","5.04","{a--blaze}","JJ"
"able","4","176528","12.08","{able}","JJ"
"ably","4","256","5.55","{able}>y>","RB"
"abnormal","8","2204","7.70","<ab<{norm--al}","JJ"
"aboard","6","3721","8.22","{aboard}","minor|RB"
"abode","5","486","6.19","{abode}","NN"
"abolish","7","1606","7.38","{abolish}","VB"
"abolished","9","1458","7.28","{abolish}>ed>","VB"
"abolition","9","827","6.72","{abolish}>ion>","NN"
"abolitionist","12","134","4.90","{abolish}>ion>>ist>","NN|JJ"
"abominate","9","3","1.10","{abomin--ate}","VB"
"abort","5","2778","7.93","{abort}","VB"
"abominable","10","473","6.16","{abomin--able}","JJ"
"aboriginal","10","1459","7.29","{ab--origin--al}","JJ|NN"
"aborigine","9","71","4.26","{ab--origin--e}","NN"
"abortion","8","16764","9.73","{abort}>ion>","NN"
"abortionist","11","206","5.33","{abort}>ion>>ist>","NN"
"abortions","9","3768","8.23","{abort}>ion>>s>","NN"
