"Word"	"Length"	"Freq_HAL"	"Log_Freq_HAL"	"MorphSp"	"POS"	"prefix"	"nprefix"	"root"	"nroot"
"aerate"	6	132	4.88	"{aer--ate}"	"VB"	"^a"	28	"erate"	1
"airbus"	6	575	6.35	"{air}{bus}"	"NN|VB"	"^a"	28	"irbus"	1
"airdrop"	7	25	3.22	"{air}{drop}"	"NN|VB"	"^a"	28	"irdrop"	1
"airlift"	7	196	5.28	"{air}{lift}"	"NN|VB"	"^a"	28	"irlift"	1
"airmail"	7	748	6.62	"{air}{mail}"	"NN|VB"	"^a"	28	"irmail"	1
"airpark"	7	82	4.41	"{air}{park}"	"NN|VB"	"^a"	28	"irpark"	1
"airshaft"	8	3	1.1	"{air}{shaft}"	"NN|VB"	"^a"	28	"irshaft"	1
"analyze"	7	5402	8.59	"{ana--lyze}"	"VB"	"^a"	28	"nalyze"	1
"anchor"	6	2766	7.93	"{anchor}"	"NN|VB"	"^a"	28	"nchor"	1
"anger"	5	8608	9.06	"{anger}"	"NN|VB"	"^a"	28	"nger"	1
"angle"	5	10577	9.27	"{angle}"	"NN|VB"	"^a"	28	"ngle"	1
"anoint"	6	61	4.11	"{anoint}"	"VB"	"^a"	28	"noint"	1
"answer"	6	109246	11.6	"{answer}"	"NN|VB"	"^a"	28	"nswer"	1
"antagonize"	10	190	5.25	"{antagon--ize}"	"VB"	"^a"	28	"ntagonize"	1
"anthologize"	11	4	1.39	"{anth--olog--ize}"	"VB"	"^a"	28	"nthologize"	1
"author"	6	53382	10.89	"{author}"	"NN|VB"	"^a"	28	"uthor"	1
"authorize"	9	915	6.82	"{author--ize}"	"VB"	"^a"	28	"uthorize"	1
"automate"	8	1642	7.4	"{autom--ate}"	"VB"	"^a"	28	"utomate"	1
"avail"	5	14304	9.57	"{a--vail}"	"NN|VB"	"^a"	28	"vail"	2
"prevail"	7	1579	7.36	"{pre--vail}"	"VB"	"^pre"	31	"vail"	2
"avenge"	6	271	5.6	"{a--venge}"	"VB"	"^a"	28	"venge"	1
"average"	7	61913	11.03	"{average}"	"JJ|NN|VB"	"^a"	28	"verage"	1
"avert"	5	1146	7.04	"{avert}"	"VB"	"^a"	28	"vert"	5
"convert"	7	21237	9.96	"{con--vert}"	"VB"	"^con"	78	"vert"	5
"invert"	6	538	6.29	"{in--vert}"	"VB"	"^in"	87	"vert"	5
"revert"	6	1297	7.17	"{re--vert}"	"VB"	"^re"	176	"vert"	5
"subvert"	7	595	6.39	"{sub--vert}"	"VB"	"^sub"	20	"vert"	5
"avoid"	5	45327	10.72	"{avoid}"	"VB"	"^a"	28	"void"	1
"avow"	4	15	2.71	"<a<{vow}"	"VB"	"^a"	28	"vow"	1
"await"	5	1682	7.43	"<a<{wait}"	"VB"	"^a"	28	"wait"	1
"awake"	5	3506	8.16	"<a<{wake}"	"JJ|VB"	"^a"	28	"wake"	1
"award"	5	15755	9.66	"{award}"	"NN|VB"	"^a"	28	"ward"	3
